player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
CAR,1905,527,DEF,CAR,164.2,164.2,6,387
CIN,1907,506,DEF,CIN,162.2,162.2,5,165
PIT,1922,510,DEF,PIT,161.7,161.7,9,115
LAC,1924,514,DEF,LAC,160,160,6,179
NYG,1918,517,DEF,NYG,157.8,157.8,6,209
NO,1917,529,DEF,NO,157.1,157.1,6,137
GB,1911,523,DEF,GB,153.8,153.8,14,190
JAC,1913,509,DEF,JAC,152.7,152.7,12,177
SEA,1926,515,DEF,SEA,151,151,11,189
LV,1920,513,DEF,LV,149.1,149.1,12,194
DET,1910,522,DEF,DET,145.2,145.2,5,134
CHI,1906,521,DEF,CHI,142.6,142.6,9,178
ARI,1901,519,DEF,ARI,140.3,140.3,9,235
TEN,1928,508,DEF,TEN,139.3,139.3,10,230
LAR,1923,528,DEF,LAR,135.9,135.9,11,224
WAS,1929,520,DEF,WAS,122.2,122.2,5,233
DEN,1909,511,DEF,DEN,115.2,115.2,14,220
